"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get the action from a board","215","getAnAction","All test","Tue Apr 08 15:54:09 GMT 2025","passed","Tue Apr 08 15:54:09 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","getAnAction"
"Update field label","210","testUpdateFieldLabel","All test","Tue Apr 08 15:54:11 GMT 2025","passed","Tue Apr 08 15:54:11 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testUpdateFieldLabel"
"Get the member creator the action belong to","193","testGetTheMemberCreatorOfAnAction","All test","Tue Apr 08 15:54:18 GMT 2025","passed","Tue Apr 08 15:54:18 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","testGetTheMemberCreatorOfAnAction"
"Update subscribed field of a list","196","testGetActionsOfAList","All test","Tue Apr 08 15:54:28 GMT 2025","passed","Tue Apr 08 15:54:28 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testGetActionsOfAList"
"Archive a list on a board","212","testArchiveAList","All test","Tue Apr 08 15:54:19 GMT 2025","passed","Tue Apr 08 15:54:19 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testArchiveAList"
"Create reaction for specific action ","244","testCreateReactionForAction","All test","Tue Apr 08 15:54:19 GMT 2025","passed","Tue Apr 08 15:54:19 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","testCreateReactionForAction"
"Delete label","455","testDeleteLabel","All test","Tue Apr 08 15:54:15 GMT 2025","passed","Tue Apr 08 15:54:15 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testDeleteLabel"
"Create a Label on a Board","260","testCreateLabelOnBoard","All test","Tue Apr 08 15:54:19 GMT 2025","passed","Tue Apr 08 15:54:19 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testCreateLabelOnBoard"
"","166","Get closed lists from a bord","All test","Tue Apr 08 15:54:20 GMT 2025","passed","Tue Apr 08 15:54:21 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetClosedListOfABoard"
"","167","Get all existed cards from a bord","All test","Tue Apr 08 15:54:20 GMT 2025","passed","Tue Apr 08 15:54:20 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetCardsOnABoard"
"Get boardStars on a Board","165","testGetBoardStarsOnBoard","All test","Tue Apr 08 15:54:27 GMT 2025","passed","Tue Apr 08 15:54:27 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetBoardStarsOnBoard"
"","330","Get all existed custom fields from a bord","All test","Tue Apr 08 15:54:21 GMT 2025","passed","Tue Apr 08 15:54:21 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetCustomFieldsForABoard"
"Delete specific reaction of specific action","225","testDeleteActionsReaction","All test","Tue Apr 08 15:54:27 GMT 2025","passed","Tue Apr 08 15:54:27 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","testDeleteActionsReaction"
"Create a new Label on a Board","298","testCreateLabel","All test","Tue Apr 08 15:54:08 GMT 2025","passed","Tue Apr 08 15:54:08 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testCreateLabel"
"Get a attachments on a card","175","testGetAttachmentsCard","All test","Tue Apr 08 15:54:26 GMT 2025","passed","Tue Apr 08 15:54:27 GMT 2025","api.tests.api.CardsApiTest","Tests with xml","api.tests.api.CardsApiTest","testGetAttachmentsCard"
"Create a new List on a Board","645","testArchiveAllCardsOnTheList","All test","Tue Apr 08 15:54:13 GMT 2025","passed","Tue Apr 08 15:54:14 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testArchiveAllCardsOnTheList"
"Create a new Card","377","testCreateNewCard","All test","Tue Apr 08 15:54:07 GMT 2025","passed","Tue Apr 08 15:54:07 GMT 2025","api.tests.api.CardsApiTest","Tests with xml","api.tests.api.CardsApiTest","testCreateNewCard"
